,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
49249,199111270012,1991,11,27,,0,,214,Ukraine,9,Eastern Europe,Kharkiv,Kharkiv,49.9935,36.230383,1.0,0,,,1,1,1,0.0,,,0.0,0,0,1,Assassination,,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Candidate for Presidency of Ukrain,Candidate Leonid Kravchuk,359.0,Soviet Union,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,9,Melee,23.0,Knife or Other Sharp Object,,,,,,,,,,,,,Knife,0.0,,,1.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
49320,199112010015,1991,12,1,,0,,214,Ukraine,9,Eastern Europe,Kiev,Kiev,50.4501,30.5234,1.0,0,,,1,1,1,0.0,,,0.0,0,0,3,Bombing/Explosion,,,,,15,Religious Figures/Institutions,86.0,Place of Worship,,Main Synagogue,167.0,Russia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
50833,199203300016,1992,3,30,,0,,214,Ukraine,9,Eastern Europe,Dnipropetrovsk,Kryvyi Rih,47.909421,33.391969,1.0,0,,,1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,19,Transportation,100.0,Train/Train Tracks/Trolley,Pridneprovskaya Railway,Rivoy Rog Station,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,1.0,,,1.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
54892,199401180002,1994,1,18,,0,,214,Ukraine,9,Eastern Europe,Crimea,Simferopol,44.952117,34.102416999999996,1.0,0,,,1,1,1,0.0,,,0.0,0,0,1,Assassination,,,,,2,Government (General),18.0,"Government Personnel (excluding police, military)",Government,Tartar Parliament Member Eskander Nemetov,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,3.0,Handgun,,,,,,,,,,,,,Pistol,2.0,,,1.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
56369,199405210002,1994,5,21,,0,,214,Ukraine,9,Eastern Europe,Sevastopol,Sevastopol,44.61665,33.525366999999996,1.0,0,,,1,1,0,1.0,1.0,Insurgency/Guerilla Action,0.0,1,0,2,Armed Assault,,,,,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Military,"Strategi Facility, Anti Aircraft Defense",214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,10.0,,,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Automatic firearm,,,0.0,,,0.0,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
56448,199405300002,1994,5,30,,0,,214,Ukraine,9,Eastern Europe,,Kiev,50.4501,30.5234,1.0,0,,,1,1,1,0.0,,,0.0,0,0,1,Assassination,,,,,2,Government (General),18.0,"Government Personnel (excluding police, military)",Government,Parliament member Volodymyr Bortnyk,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,3.0,Handgun,,,,,,,,,,,,,Pistol,0.0,,,1.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
56678,199406260007,1994,6,26,,0,,214,Ukraine,9,Eastern Europe,Kiev,Kiev,50.4501,30.5234,1.0,0,,,1,1,1,-9.0,,,0.0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,73.0,Vehicles/Transportation,Unknown,BMW car on street,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,1,3.0,Minor (likely < $1 million),40000.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
56685,199406270005,1994,6,27,,0,,214,Ukraine,9,Eastern Europe,Kiev,Kiev,50.4501,30.5234,1.0,0,,,1,1,1,0.0,,,0.0,0,0,1,Assassination,,,,,2,Government (General),21.0,Government Building/Facility/Office,Government,Anatoliy Selivanov,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,7.0,Grenade,,,,,,,,,,,,,Grenade,0.0,,,2.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
56699,199406290003,1994,6,29,,0,,214,Ukraine,9,Eastern Europe,,Simferopol,44.952117,34.102416999999996,1.0,0,,,1,1,1,0.0,,,0.0,1,0,1,Assassination,,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Crimean Christian-Liberal Party,Party leader Yevgeniy Podanev,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,1.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
57027,199408120003,1994,8,12,,0,,214,Ukraine,9,Eastern Europe,Crimea,Simferopol,44.952117,34.102416999999996,1.0,0,,,1,1,1,-9.0,,,0.0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Unk,U/I Apartment,214.0,Ukraine,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
