,eventid,iyear,imonth,iday,extended,country_txt,city,latitude,longitude,location,summary,crit1,crit2,crit3,alternative_txt,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,gname,guncertain1,nperps,nperpcap,claimed,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weapdetail,nkill,nkillter,nwound,property,addnotes,scite1,scite2,scite3,related
0,199111270012,1991,11,27,0,Ukraine,Kharkiv,49.9935,36.230383,,,1,1,1,,0,0,1,Assassination,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Candidate for Presidency of Ukrain,Candidate Leonid Kravchuk,Unknown,0.0,,,,9,Melee,23.0,Knife or Other Sharp Object,,,,,Knife,0.0,,1.0,0,,,,,
1,199112010015,1991,12,1,0,Ukraine,Kiev,50.4501,30.5234,,,1,1,1,,0,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86.0,Place of Worship,,Main Synagogue,Unknown,0.0,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,Explosive,0.0,,0.0,1,,,,,
2,199203300016,1992,3,30,0,Ukraine,Kryvyi Rih,47.909421,33.391969,,,1,1,1,,1,0,3,Bombing/Explosion,19,Transportation,100.0,Train/Train Tracks/Trolley,Pridneprovskaya Railway,Rivoy Rog Station,Unknown,0.0,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,Explosive,1.0,,1.0,1,,,,,
3,199401180002,1994,1,18,0,Ukraine,Simferopol,44.952117,34.102416999999996,,,1,1,1,,0,0,1,Assassination,2,Government (General),18.0,"Government Personnel (excluding police, military)",Government,Tartar Parliament Member Eskander Nemetov,Unknown,0.0,,,,5,Firearms,3.0,Handgun,,,,,Pistol,2.0,,1.0,0,,,,,
4,199405210002,1994,5,21,0,Ukraine,Sevastopol,44.61665,33.525366999999996,,,1,1,0,Insurgency/Guerilla Action,1,0,2,Armed Assault,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Military,"Strategi Facility, Anti Aircraft Defense",Unknown,0.0,10.0,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,Automatic firearm,,0.0,,1,,,,,
5,199405300002,1994,5,30,0,Ukraine,Kiev,50.4501,30.5234,,,1,1,1,,0,0,1,Assassination,2,Government (General),18.0,"Government Personnel (excluding police, military)",Government,Parliament member Volodymyr Bortnyk,Unknown,0.0,,,,5,Firearms,3.0,Handgun,,,,,Pistol,0.0,,1.0,0,,,,,
6,199406260007,1994,6,26,0,Ukraine,Kiev,50.4501,30.5234,,,1,1,1,,1,0,3,Bombing/Explosion,14,Private Citizens & Property,73.0,Vehicles/Transportation,Unknown,BMW car on street,Unknown,0.0,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,Explosive,0.0,,0.0,1,,,,,
7,199406270005,1994,6,27,0,Ukraine,Kiev,50.4501,30.5234,,,1,1,1,,0,0,1,Assassination,2,Government (General),21.0,Government Building/Facility/Office,Government,Anatoliy Selivanov,Unknown,0.0,,,,6,Explosives,7.0,Grenade,,,,,Grenade,0.0,,2.0,0,,,,,
8,199406290003,1994,6,29,0,Ukraine,Simferopol,44.952117,34.102416999999996,,,1,1,1,,1,0,1,Assassination,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Crimean Christian-Liberal Party,Party leader Yevgeniy Podanev,Unknown,0.0,,,,13,Unknown,,,,,,,,1.0,,0.0,0,,,,,
9,199408120003,1994,8,12,0,Ukraine,Simferopol,44.952117,34.102416999999996,,,1,1,1,,1,0,3,Bombing/Explosion,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Unk,U/I Apartment,Unknown,0.0,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,Explosive,0.0,,0.0,1,,,,,
